                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.89927,                0.76509,                 1.2243,                0.57669,                0.93929,                0.72044,                0.47368,                 1.2547,                 1.1202,                 1.5157,             0.00097033,             0.00097033,             0.00097033
                    116,                0.85679,                 0.7589,                 1.2241,                0.58305,                0.96429,                0.70906,                0.47947,                 1.1596,                 1.0067,                 1.4847,             0.00096785,             0.00096785,             0.00096785
                    117,                0.85577,                0.77324,                 1.2209,                0.58328,                0.96429,                0.75532,                0.48274,                 1.2001,                0.95824,                 1.5556,             0.00096537,             0.00096537,             0.00096537
                    118,                0.88247,                0.74265,                 1.2199,                0.60277,                0.96429,                0.76041,                0.44039,                 1.1802,                 1.0477,                  1.533,              0.0009629,              0.0009629,              0.0009629
                    119,                0.85093,                0.73592,                 1.2046,                0.58142,                0.92378,                0.70307,                 0.4021,                 1.1555,                 1.1142,                 1.5244,             0.00096043,             0.00096043,             0.00096043
                    120,                0.80345,                0.70343,                 1.1679,                0.61562,                0.96429,                0.69487,                0.41936,                 1.1509,                 1.1024,                 1.5168,             0.00095795,             0.00095795,             0.00095795
                    121,                0.87188,                0.77314,                 1.2699,                0.62269,                0.96429,                0.69541,                0.43374,                 1.1403,                0.99948,                 1.5307,             0.00095548,             0.00095548,             0.00095548
                    122,                 0.8354,                0.75243,                 1.2121,                0.61865,                0.96429,                0.74385,                0.46189,                 1.1588,                0.88386,                 1.5836,               0.000953,               0.000953,               0.000953
                    123,                 0.8464,                0.71877,                 1.1975,                0.64435,                0.96075,                0.74215,                0.43981,                 1.1592,                0.92133,                 1.6191,             0.00095053,             0.00095053,             0.00095053
                    124,                0.79975,                0.72578,                 1.2037,                0.60448,                0.92857,                0.76867,                0.47218,                 1.2081,                 1.0243,                  1.663,             0.00094805,             0.00094805,             0.00094805
                    125,                0.84689,                0.75102,                 1.2049,                0.70778,                0.79918,                0.73108,                0.46313,                 1.1953,                 1.0186,                 1.6263,             0.00094558,             0.00094558,             0.00094558
                    126,                 0.8773,                0.73317,                 1.2152,                0.60136,                0.92857,                0.72479,                0.45614,                 1.1655,                0.94264,                  1.582,              0.0009431,              0.0009431,              0.0009431
                    127,                0.79103,                0.70388,                 1.1777,                0.61546,                0.92857,                0.78161,                0.54918,                 1.0687,                0.88527,                 1.5218,             0.00094062,             0.00094062,             0.00094062
                    128,                0.79083,                0.69162,                 1.1867,                0.64197,                0.92876,                0.79349,                0.56661,                 1.0666,                0.95356,                 1.5034,             0.00093815,             0.00093815,             0.00093815
                    129,                 0.8008,                0.70117,                 1.2023,                0.64755,                0.96429,                0.79324,                0.54585,                 1.1161,                 1.0619,                 1.5347,             0.00093567,             0.00093567,             0.00093567
                    130,                0.85086,                0.76839,                 1.2018,                0.67956,                0.96429,                0.75878,                0.49674,                 1.1315,                 1.1323,                 1.5378,              0.0009332,              0.0009332,              0.0009332
                    131,                0.83987,                 0.7181,                  1.216,                 0.6453,                0.96429,                0.72783,                  0.469,                 1.1007,                 1.1132,                 1.5095,             0.00093073,             0.00093073,             0.00093073
                    132,                0.81871,                0.70234,                 1.2107,                0.66257,                0.93653,                 0.8004,                0.52194,                 1.1228,                    1.1,                  1.482,             0.00092825,             0.00092825,             0.00092825
                    133,                0.80738,                0.69594,                 1.1602,                0.60231,                0.95495,                0.74027,                0.49166,                  1.093,                 1.0849,                 1.4415,             0.00092577,             0.00092577,             0.00092577
                    134,                 0.8229,                0.67993,                 1.1738,                0.59579,                0.96429,                0.73968,                0.47645,                 1.0409,                 1.0899,                 1.4324,              0.0009233,              0.0009233,              0.0009233
                    135,                0.80089,                 0.7268,                 1.1896,                0.67673,                0.94594,                0.82664,                0.52327,                  1.079,                 1.0197,                 1.4816,             0.00092083,             0.00092083,             0.00092083
                    136,                0.83847,                0.73113,                 1.1815,                0.61763,                0.94846,                0.78332,                0.47955,                 1.0674,                0.99589,                 1.4764,             0.00091835,             0.00091835,             0.00091835
                    137,                0.81361,                0.68847,                 1.1691,                0.60283,                      1,                0.80415,                  0.484,                 1.1025,                0.95983,                 1.4796,             0.00091588,             0.00091588,             0.00091588
                    138,                0.80628,                0.66972,                  1.168,                 0.5964,                      1,                0.82779,                0.53432,                  1.099,                0.92424,                 1.4719,              0.0009134,              0.0009134,              0.0009134
